$w_0$,$\bar{\mathcal{M}}$,$\bar{\mathcal{M}}_{0}$,$\bar{B}$,$\varepsilon$,$\bar{R}$,$G\mathcal{M}/c^2R$,$z(0)$,$\epsilon_c(0)/mc^2$,$\bar{\rho}(0)$,$\bar{p}(0)$,$v(0)/c$,$\langle\gamma\rangle$,$\gamma_{{\rm cr}}$
0.033,0.0475157,0.0476291,0.000113485,0.00238268,11.948,0.00397687,0.0140394,0.00999899,0.000159375,4.51884e-07,0.0922282,1.66546,1.34065
0.133,0.0614737,0.062037,0.000563289,0.00907989,4.035,0.0152351,0.0577953,0.041558,0.00577271,6.64531e-05,0.185835,1.66176,1.36328
0.267,0.0648158,0.0659264,0.00111061,0.0168462,2.271,0.0285406,0.119486,0.087074,0.038138,0.00089031,0.264638,1.65674,1.39468
0.467,0.0622397,0.0638962,0.00165647,0.0259245,1.387,0.0448736,0.218873,0.162921,0.194114,0.00805085,0.352738,1.6491,1.44387
0.633,0.0578329,0.0596955,0.00186259,0.0312016,1.044,0.0553954,0.309024,0.234409,0.508491,0.0289754,0.41346,1.64265,1.48675
0.733,0.0548232,0.0567169,0.00189374,0.0333894,0.907001,0.0604445,0.367187,0.281887,0.83394,0.0554914,0.446793,1.63871,1.51344
0.8,0.0527484,0.0546295,0.0018811,0.0344338,0.833001,0.0633234,0.407959,0.315788,1.1338,0.0828133,0.468104,1.63606,1.53165
0.867,0.0506592,0.052504,0.00184479,0.0351361,0.770001,0.0657911,0.450296,0.351529,1.51812,0.120871,0.48873,1.6334,1.55012
0.967,0.0475566,0.0493089,0.00175236,0.0355384,0.692001,0.0687233,0.516649,0.408626,2.29463,0.205574,0.518428,1.62942,1.57809
1.033,0.0455399,0.0472098,0.00166994,0.0353727,0.649001,0.0701692,0.562702,0.449016,2.97846,0.286744,0.537417,1.62678,1.59677
1.067,0.0445149,0.0461367,0.00162176,0.0351513,0.630001,0.0706585,0.587183,0.470792,3.3966,0.338804,0.547032,1.62543,1.60645
1.12526,0.0427849,0.0443162,0.0015313,0.0345539,0.599001,0.0714271,0.630406,0.509562,4.23693,0.448081,0.563266,1.62311,1.62311
1.167,0.0415683,0.0430293,0.00146104,0.0339546,0.580001,0.0716693,0.662419,0.538688,4.95051,0.545061,0.574723,1.62145,1.63507
1.267,0.0387411,0.0400187,0.00127768,0.031927,0.540001,0.0717426,0.742982,0.613138,7.13493,0.860887,0.601643,1.6175,1.66373
